timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2025-09-26 20:58:24,0.10,-0.19,1.21,-6.76,6.31,-0.05
2025-09-26 20:58:25,0.10,-0.18,1.21,-6.41,6.35,-0.07
2025-09-26 20:58:26,0.11,-0.18,1.21,-6.50,6.31,0.07
2025-09-26 20:58:27,0.11,-0.17,1.20,-6.64,6.35,0.04
2025-09-26 20:58:28,0.11,-0.17,1.20,-6.59,6.36,0.02
2025-09-26 20:58:29,0.11,-0.16,1.20,-6.62,6.21,0.03
2025-09-26 20:58:30,0.12,-0.16,1.20,-6.62,6.31,0.15
2025-09-26 20:58:31,0.12,-0.16,1.19,-6.45,6.34,0.13
2025-09-26 20:58:32,0.13,-0.16,1.19,-6.55,6.24,0.15
2025-09-26 20:58:33,0.13,-0.15,1.19,-6.56,6.19,0.05
2025-09-26 20:58:34,0.14,-0.15,1.19,-6.57,6.34,0.15
2025-09-26 20:58:35,0.14,-0.15,1.18,-6.60,6.40,-0.05
2025-09-26 20:58:36,0.15,-0.15,1.18,-6.47,6.18,0.08
2025-09-26 20:58:37,0.15,-0.15,1.18,-6.48,6.31,-0.02
2025-09-26 20:58:38,0.16,-0.15,1.18,-6.53,6.22,0.14
2025-09-26 20:58:39,0.16,-0.15,1.17,-6.53,6.38,0.28
2025-09-26 20:58:40,0.17,-0.15,1.17,-6.59,6.28,0.02
2025-09-26 20:58:41,0.17,-0.15,1.17,-6.58,6.24,-0.01
2025-09-26 20:58:42,0.17,-0.16,1.17,-6.55,6.17,0.08
2025-09-26 20:58:43,0.18,-0.16,1.16,-6.40,6.45,0.06
2025-09-26 20:58:44,0.18,-0.16,1.16,-6.43,6.35,0.13
2025-09-26 20:58:45,0.19,-0.17,1.16,-6.52,6.30,0.05
2025-09-26 20:58:46,0.19,-0.17,1.16,-6.39,6.33,-0.00
2025-09-26 20:58:47,0.19,-0.18,1.16,-6.50,6.22,0.09
2025-09-26 20:58:48,0.19,-0.18,1.15,-6.63,6.34,0.16
2025-09-26 20:58:49,0.20,-0.18,1.15,-6.60,6.25,0.21
2025-09-26 20:58:50,0.20,-0.19,1.15,-6.45,6.13,-0.04
2025-09-26 20:58:51,0.20,-0.19,1.15,-6.40,6.14,-0.01
2025-09-26 20:58:52,0.20,-0.20,1.15,-6.51,6.30,0.24
2025-09-26 20:58:53,0.20,-0.20,1.14,-6.59,6.20,0.04
2025-09-26 20:58:54,0.20,-0.21,1.14,-6.47,6.22,0.08
2025-09-26 20:58:55,0.20,-0.21,1.14,-6.61,6.31,0.23
2025-09-26 20:58:56,0.20,-0.22,1.14,-6.61,6.27,0.00
2025-09-26 20:58:57,0.19,-0.22,1.14,-6.31,6.51,0.04
2025-09-26 20:58:58,0.19,-0.23,1.14,-6.46,6.25,0.22
2025-09-26 20:58:59,0.19,-0.23,1.14,-6.52,6.28,0.01
2025-09-26 20:59:00,0.19,-0.23,1.13,-6.59,6.35,0.16
2025-09-26 20:59:01,0.18,-0.24,1.13,-6.31,6.23,0.08
2025-09-26 20:59:02,0.18,-0.24,1.13,-6.63,6.30,0.05
2025-09-26 20:59:03,0.17,-0.24,1.13,-6.37,6.06,0.06
2025-09-26 20:59:04,0.17,-0.25,1.13,-6.39,6.15,0.04
2025-09-26 20:59:05,0.16,-0.25,1.13,-6.68,6.01,0.08
2025-09-26 20:59:06,0.16,-0.25,1.13,-6.46,6.22,0.18
2025-09-26 20:59:07,0.15,-0.25,1.13,-6.61,6.25,0.13
2025-09-26 20:59:08,0.15,-0.25,1.13,-6.49,6.29,0.29
2025-09-26 20:59:09,0.15,-0.25,1.13,-6.52,6.30,0.31
2025-09-26 20:59:10,0.14,-0.25,1.13,-6.46,6.11,-0.04
2025-09-26 20:59:11,0.14,-0.25,1.13,-6.38,6.32,0.04
2025-09-26 20:59:12,0.13,-0.25,1.13,-6.51,6.26,0.03
2025-09-26 20:59:13,0.13,-0.24,1.13,-6.45,6.20,0.13
